source, https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2745.13412
phylo.name,photosynthetic.pathway,avg.RGR,leaf.N,leaf.C,SLA,LDMC,leaf.PC1,leaf.PC2,root.N,root.C,SRL,SRA,root.avg.diam.mm,root.PC1,root.PC2
Stipa_viridula,C3,0.047549701,1.182408684,3.786437755,5.18655514,3.482425393,0.841711975,-0.611505497,0.157233342,3.736857939,9.093664937,6.850579613,-1.059295426,0.464204011,0.501290121
Stipagrostis_ciliata,C4,0.190781734,0.937040816,3.772679028,5.238037748,3.193515803,0.519572164,-0.249084035,NA,NA,NA,NA,NA,NA,NA
Stipagrostis_uniplumis,C4,0.164362478,0.564822165,3.766020083,5.154321657,3.561542282,0.976657252,0.213468699,-0.454390759,3.781308838,9.524044612,6.965293307,-1.351603121,0.003540472,-0.354971829
Tetrachne_dregei,C4,0.048899116,1.052553998,3.776261738,5.570892635,3.316454708,0.33347091,-0.490930547,-0.092963494,3.815258795,9.370256057,7.028775502,-1.176357637,0.084693659,-0.159093292
Tragus_racemosus,C4,0.207763915,0.760826364,3.743635774,5.566526609,3.300151762,0.271356653,0.071224628,-0.421907777,3.860803553,9.551910997,7.002622061,-1.386394366,-0.169106814,-0.760012002
Tribolium_echinatum,C3,0.05549723,1.480508239,3.769503543,5.68942033,2.961172995,-0.188851007,-0.921402045,0.158694087,3.801963522,10.03596258,7.435815053,-1.446362888,-0.64935697,0.220721877
Triraphis_schinzii,C4,0.102942204,1.128842827,3.791174774,5.590005092,3.07917909,0.123817629,-0.684295208,0.034441015,3.825610592,9.490918728,6.902218357,-1.429410652,-0.140339187,-0.130932705
Tristachya_superba,C4,0.093550709,0.909610151,3.700616177,5.270098457,3.32192167,0.41091719,0.31361313,NA,NA,NA,NA,NA,NA,NA
Triticum_aestivum,C3,0.0133095,1.037623278,3.709756333,5.554290724,2.951231399,-0.184157697,0.042543768,0.067587114,3.792006808,9.344630943,7.000120993,-1.17126363,0.124650509,0.125508788
Triticum_monococcum,C3,0.133285749,0.981705333,3.724506697,5.312584505,3.278104266,0.38942441,0.045433093,0.085616055,3.77664427,9.619243354,7.073873918,-1.36933892,-0.175389436,0.227815242
Triticum_timopheevii,C3,0.149036448,1.231873879,3.737074916,5.451857328,3.01435125,0.016072944,-0.347945448,0.204303008,3.753637185,9.63671784,7.10049872,-1.374168181,-0.185932254,0.477570599
Urochloa_mosambicensis,C4,0.182416624,0.579487783,3.707385675,5.699294042,2.807013475,-0.389297855,0.519223991,-0.319007614,3.811121409,9.100819672,6.843069786,-1.099087402,0.395716338,-0.391049459
