binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Brachypodium phoenicoides,Brachypodium,phoenicoides,Poaceae,Poales,AM,FRED4,"['Schedonorus phoenicoides', 'Brachypodium pinnatum subsp. phoenicoides', 'Brachypodium pinnatum var. phoenicoides', 'Festuca phoenicoides', 'Brachypodium pinnatum subsp. phoenicoides', 'Brachypodium cespitosum var. phoenicoides', 'Poa phoenicoides', 'Brachypodium ramosum var. phoenicoides', 'Brachypodium ramosum proles phoenicoides', 'Brachypodium pinnatum var. phoenicoides', 'Brachypodium caespitosum var. phoenicoides', 'Triticum phoenicoides', 'Bromus phoenicoides']"
Brachypodium pinnatum,Brachypodium,pinnatum,Poaceae,Poales,AM,FRED4,"['Festuca pinnata', 'Bromus pinnatus', 'Tragus pinnatus', 'Triticum pinnatum', 'Agropyron pinnatum']"
Brachypodium sylvaticum,Brachypodium,sylvaticum,Poaceae,Poales,AM,FRED4,"['Bromus pinnatus var. sylvaticus', 'Festuca sylvatica', 'Brachypodium pinnatum var. sylvaticum', 'Brachypodium pinnatum var. sylvaticum', 'Festuca pinnata var. sylvatica', 'Brevipodium sylvaticum', 'Agropyron sylvaticum', 'Bromus sylvaticus', 'Triticum sylvaticum']"
Bromus catharticus,Bromus,catharticus,Poaceae,Poales,AM,FRED4,['Ceratochloa cathartica']
Bromus erectus,Bromus,erectus,Poaceae,Poales,AM,FRED4,"['Forasaccus erectus', 'Festuca erecta', 'Schedonorus erectus', 'Bromopsis erecta', 'Zerna erecta']"
Bromus inermis,Bromus,inermis,Poaceae,Poales,NMAM,FRED4,"['Forasaccus inermis', 'Zerna inermis', 'Festuca inermis', 'Schedonorus inermis', 'Bromopsis inermis']"
Bromus madritensis,Bromus,madritensis,Poaceae,Poales,AM,FRED4,"['Anisantha madritensis', 'Zerna madritensis', 'Genea madritensis', 'Festuca madritensis', 'Bromus rubens subsp. madritensis', 'Bromus sterilis var. madritensis']"
Brosimum lactescens,Brosimum,lactescens,Moraceae,Rosales,AM,FRED4,['Brosimopsis lactescens']
Brosimum rubescens,Brosimum,rubescens,Moraceae,Rosales,AM,FRED4,['Piratinera rubescens']
Brosimum utile,Brosimum,utile,Moraceae,Rosales,AM,FRED4,"['Piratinera utilis', 'Galactodendrum utile']"
Calamagrostis canadensis,Calamagrostis,canadensis,Poaceae,Poales,AM,FungalRoot,"['Arundo canadensis', 'Calamagrostis langsdorffii var. marylandica', 'Deyeuxia canadensis']"
Calamus rhabdocladus,Calamus,rhabdocladus,Arecaceae,Arecales,AM,FRED4,
Calliandra houstoniana,Calliandra,houstoniana,Fabaceae,Fabales,AM,FRED4,"['Mimosa houstoniana', 'Anneslia houstoniana']"
Callitropsis nootkatensis,Callitropsis,nootkatensis,Cupressaceae,Cupressales,AM,FRED4,"['Xanthocyparis nootkatensis', 'Chamaecyparis nootkatensis', 'Cupressus nootkatensis']"
Calluna vulgaris,Calluna,vulgaris,Ericaceae,Ericales,ErM,FRED4,"['Ericoides vulgaris', 'Erica vulgaris']"
Calocedrus decurrens,Calocedrus,decurrens,Cupressaceae,Cupressales,AM,FRED4,"['Heyderia decurrens', 'Thuja decurrens', 'Libocedrus decurrens']"
Calpurnia aurea,Calpurnia,aurea,Fabaceae,Fabales,,,"['Virgilia aurea', 'Podalyria aurea', 'Sophora aurea']"
Caltha palustris,Caltha,palustris,Ranunculaceae,Ranunculales,NMAM,FRED4,"['Populago palustris', 'Trollius palustris']"
Calycolpus goetheanus,Calycolpus,goetheanus,Myrtaceae,Myrtales,AM,FRED4,['Myrtus goetheana']
Campanula rotundifolia,Campanula,rotundifolia,Campanulaceae,Asterales,NMAM,FRED4,
Canarium album,Canarium,album,Burseraceae,Sapindales,AM,FRED4,['Pimela alba']
Canarium subulatum,Canarium,subulatum,Burseraceae,Sapindales,AM,FungalRoot,
Carallia brachiata,Carallia,brachiata,Rhizophoraceae,Malpighiales,AM,FRED4,"['Karekandelia brachiata', 'Petalotoma brachiata', 'Diatoma brachiata']"
Carapichea pacimonica,Carapichea,pacimonica,Rubiaceae,Gentianales,AM,FRED4,"['Uragoga pacimonica', 'Psychotria pacimonica']"
Carex atrofusca,Carex,atrofusca,Cyperaceae,Poales,,,['Proteocarpus atrofuscus']
Carex coriophora,Carex,coriophora,Cyperaceae,Poales,,,"['Carex atrofusca subsp. coriophora', 'Carex atrofusca var. coriophora']"
Carex filifolia,Carex,filifolia,Cyperaceae,Poales,NM,Maherali et. al. 2016,"['Olotrema filifolia', 'Uncinia filifolia']"
Carex flacca,Carex,flacca,Cyperaceae,Poales,NMAM,FRED4,
Carex humulis,Carex,humulis,Cyperaceae,Poales,NM,FRED4,
Carex korshinskyi,Carex,korshinskyi,Cyperaceae,Poales,NMAM,FRED4,"['Carex supina var. korshinskyi', 'Carex supina subsp. korshinskyi']"
Carex lasiocarpa,Carex,lasiocarpa,Cyperaceae,Poales,NM,FRED4,
Carex obtusata,Carex,obtusata,Cyperaceae,Poales,NMAM,FRED4,"['Genersichia obtusata', 'Psyllophora obtusata']"
Carex pseuduncinoides,Carex,pseuduncinoides,Cyperaceae,Poales,,,['Kobresia pseuduncinoides']
Carex tibetikobresia,Carex,tibetikobresia,Cyperaceae,Poales,NMAM,FungalRoot,"['Kobresia capillifolia var. tibetica', 'Kobresia tibetica']"
Carpinus betulus,Carpinus,betulus,Betulaceae,Fagales,EcM,FRED4,
Carpinus caroliniana,Carpinus,caroliniana,Betulaceae,Fagales,EcM,FungalRoot,
Carpinus cordata,Carpinus,cordata,Betulaceae,Fagales,EcM,FRED4,['Distegocarpus cordatus']
Carpodetus serratus,Carpodetus,serratus,Rousseaceae,Asterales,AM,FRED4,
Carya cordiformis,Carya,cordiformis,Juglandaceae,Fagales,EcM,FungalRoot,"['Juglans cordiformis', 'Hicorius cordiformis']"
Carya glabra,Carya,glabra,Juglandaceae,Fagales,EcM,FRED4,"['Juglans glabra', 'Hicorius glabra', 'Scoria glabra']"
Carya ovata,Carya,ovata,Juglandaceae,Fagales,EcM,FRED4,"['Juglans alba var. ovata', 'Juglans alba ovata', 'Carya alba subsp. ovata', 'Juglans ovata', 'Hicorius ovata', 'Scoria ovata']"
Caryota maxima,Caryota,maxima,Arecaceae,Arecales,AM,FRED4,['Caryota rumphiana var. javanica']
Castanea henryi,Castanea,henryi,Fagaceae,Fagales,EcM,FRED4,['Castanopsis henryi']
Castanopsis boisii,Castanopsis,boisii,Fagaceae,Fagales,,,
Castanopsis calathiformis,Castanopsis,calathiformis,Fagaceae,Fagales,AM,FungalRoot,"['Lithocarpus calathiformis', 'Pasania calathiformis', 'Quercus calathiformis', 'Synaedrys calathiformis']"
