Dataset,SpeciesName,AccSpeciesName,TraitID,OrigValueStr
FRED - Fine Root Ecology Database,Sterculia lanceolata,Sterculia lanceolata,7.0,AM
FRED - Fine Root Ecology Database,Itea chinensis,Itea chinensis,7.0,AM
FRED - Fine Root Ecology Database,Garcinia oblongifolia,Garcinia oblongifolia,7.0,AM
FRED - Fine Root Ecology Database,Cratoxylum cochinchinense,Cratoxylum cochinchinense,7.0,AM
FRED - Fine Root Ecology Database,Garcinia cowa,Garcinia cowa,7.0,AM
FRED - Fine Root Ecology Database,Garcinia cowa,Garcinia cowa,7.0,NM
FRED - Fine Root Ecology Database,Eriobotrya japonica,Eriobotrya japonica,7.0,AM
FRED - Fine Root Ecology Database,Rhaphiolepis indica,Rhaphiolepis indica,7.0,AM
FRED - Fine Root Ecology Database,Pithecellobium lucidum,Archidendron lucidum,7.0,AM
FRED - Fine Root Ecology Database,Acacia crassicarpa,Acacia crassicarpa,7.0,AM/EcM
FRED - Fine Root Ecology Database,Acacia mangium,Acacia mangium,7.0,AM/EcM
FRED - Fine Root Ecology Database,Pithecellobium clypearia,Archidendron clypearia,7.0,AM
FRED - Fine Root Ecology Database,Millettia lepobotrya,Millettia leptobotrya,7.0,AM
FRED - Fine Root Ecology Database,Carallia brachiata,Carallia brachiata,7.0,AM
FRED - Fine Root Ecology Database,Alangium chinense,Alangium chinense,7.0,AM
FRED - Fine Root Ecology Database,Microcos paniculata,Microcos paniculata,7.0,AM
FRED - Fine Root Ecology Database,Decaspermum gracilentum,Decaspermum gracilentum,7.0,AM
FRED - Fine Root Ecology Database,Acer negundo,Acer negundo,7.0,NM
FRED - Fine Root Ecology Database,Acer saccharum,Acer saccharum,7.0,NM
FRED - Fine Root Ecology Database,Quercus rubra,Quercus rubra,7.0,NM
FRED - Fine Root Ecology Database,Quercus alba,Quercus alba,7.0,NM
FRED - Fine Root Ecology Database,Pinus virginiana,Pinus virginiana,7.0,NM
FRED - Fine Root Ecology Database,Adiantum pedatum,Adiantum pedatum,7.0,AM
FRED - Fine Root Ecology Database,Athyrium sinense,Athyrium sinense,7.0,AM
FRED - Fine Root Ecology Database,Equisetum hyemale,Equisetum hyemale,7.0,AM
FRED - Fine Root Ecology Database,Athyrium spinulosum,Athyrium spinulosum,7.0,AM
FRED - Fine Root Ecology Database,Chenopodium serotinum,Chenopodium serotinum,7.0,AM
FRED - Fine Root Ecology Database,Cornus officinalis,Cornus officinalis,7.0,AM/EcM
FRED - Fine Root Ecology Database,Swida bretschneideri,Cornus bretschneideri,7.0,AM
FRED - Fine Root Ecology Database,Eurya japonica,Eurya japonica,7.0,AM
FRED - Fine Root Ecology Database,Diospyros strigosa,Diospyros strigosa,7.0,AM
FRED - Fine Root Ecology Database,Rapanea neriifolia,Myrsine seguinii,7.0,AM
FRED - Fine Root Ecology Database,Betula albo-sinensis,Betula albosinensis,7.0,EM
FRED - Fine Root Ecology Database,Carpinus cordata,Carpinus cordata,7.0,EM
FRED - Fine Root Ecology Database,Quercus aliena,Quercus aliena,7.0,EM
FRED - Fine Root Ecology Database,Quercus variabilis,Quercus variabilis,7.0,EM
FRED - Fine Root Ecology Database,Quercus wutaishanica,Quercus wutaishanica,7.0,EM
FRED - Fine Root Ecology Database,Ginkgo biloba,Ginkgo biloba,7.0,AM
FRED - Fine Root Ecology Database,Fraxinus chinensis,Fraxinus chinensis,7.0,AM
