binominal,SRL
Carpinus_betulus,3.718345652310577
Carpinus_cordata,4.15396636985902
Carya_glabra,4.510603063381709
Caryota_maxima,4.05301196636022
Castanea_henryi,3.7125959807312525
Castanopsis_carlesii,4.312779107215744
Castanopsis_echinocarpa,4.402809173856411
Castanopsis_eyrei,4.6279072887905155
Castanopsis_faberi,4.552548744178532
Castanopsis_fargesii,4.743054926652544
Castanopsis_fissa,4.537328196268297
Castanopsis_hystrix,4.257171777528256
Castanopsis_wattii,4.52526080275979
Catalpa_bignonioides,3.617987853502602
Catunaregam_spinosa,4.38502214365368
Caulophyllum_robustum,4.518592891171162
Celtis_sinensis,4.727387818712341
Cercidiphyllum_japonicum,3.308795169285806
Chamaecyparis_obtusa,3.3772673323464906
Chenopodium_serotinum,4.593390003903858
Chionanthus_virginicus,2.6306437235740203
Chloranthus_henryi,3.6183868591394077
Choerospondias_axillaris,4.328852849323624
Cibotium_barometz,4.430282550681985
Cinnamomum_austrosinense,3.609875282402276
Cinnamomum_camphora,3.987099616121477
Cinnamomum_cassia,3.1245651453969594
Cinnamomum_chekiangense,3.1433109627963254
Cinnamomum_micranthum,3.0521128978690735
Cinnamomum_porrectum,3.826317205982951
Cinnamomum_tenuifolium,2.9971382247412675
Convallaria_majalis,4.235455147957244
Coriaria_nepalensis,3.4438022240442625
Cornus_bretschneideri,4.016434478887856
Cornus_controversa,2.6876847819083753
Cornus_florida,3.664754898023916
Cornus_kousa,3.943419006364818
Cornus_officinalis,3.379880541003345
Cornus_ulotricha,2.5869264582422264
Corylus_ferox,4.2238506926503625
Corylus_sieboldiana,4.889169309200653
Cotoneaster_acutifolius,4.631792642548199
Cotoneaster_adpressus,4.483807694240553
Cotoneaster_multiflorus,4.984803505157494
Crataegus_pinnatifida,4.65663128004649
Cratoxylum_cochinchinense,3.48216274048526
Cryptocarya_chinensis,2.3759763124847937
Cryptocarya_concinna,3.2437199559302883
Cryptomeria_japonica,3.9264710491615933
Cunninghamia_lanceolata,3.175672175300385
Cupressus_funebris,3.0719339992840538
Cystopteris_sudetica,5.5278101436016644
Dacrycarpus_imbricatus,3.647729825198227
Daphniphyllum_pentandrum,4.145923991344203
Decaspermum_gracilentum,4.158726821151369
Dendropanax_dentiger,5.4083710520356005
Deutzia_glabrata,5.368792365008639
Deutzia_grandiflora,5.05188206654559
Dicranopteris_linearis,4.318820558770089
Dicranopteris_pedata,4.394205548089184
Dioscorea_nipponica,5.5768851853391865
Diospyros_strigosa,3.6889593264240585
Diospyros_virginiana,3.1937893193621996
Diplospora_dubia,4.423027436687124
Doellingeria_scabra,5.389988204702237
Dryopteris_lepidopoda,4.809019966164863
Dryopteris_sparsa,5.246567760697824
Duchesnea_indica,5.319102395933146
Dysoxylum_excelsum,2.208367212623428
Elaeocarpus_dubius,4.067165311631414
Elaeocarpus_glabripetalus,4.33990170837321
Elaeocarpus_sylvestris,4.497762533430192
Eleutherococcus_senticosus,5.263640884001318
Embelia_vestita,4.568821127540797
Endospermum_chinense,3.3480188003603257
Engelhardia_roxburghiana,4.668942788885158
Equisetum_hyemale,4.454200748655468
Equisetum_pratense,5.540388917685265
Eriobotrya_japonica,3.8318969609488613
Eucalyptus_urophylla,4.6654182663334485
Euonymus_alatus,4.674651038255274
Euonymus_verrucosus,5.222932387752917
Euptelea_pleiosperma,4.099012521328839
Eurya_japonica,4.842998700292426
Fagus_engleriana,4.5383184974605015
Ficus_variolosa,4.965986542427374
Filipendula_palmata,5.396386363677473
Fraxinus_americana,3.6618163611850068
Fraxinus_chinensis,3.7757211092432925
Fraxinus_excelsior,3.491128883489728
Fraxinus_mandshurica,4.640616940124867
Galium_aparine,5.483130261962464
Garcinia_cowa,4.46900676117522
Garcinia_oblongifolia,4.5094299137072555
Ginkgo_biloba,2.9920254116226643
Gironniera_subaequalis,4.213312081286144
Gleditsia_triacanthos,3.0039883357858987
Goniothalamus_griffithii,2.8085239973722764
Gordonia_axillaris,2.7930039069823738
Halesia_tetraptera,3.9224840718732885
Hamamelis_virginiana,3.1902668572109327
Helicia_formosana,4.5830268213024015
Hosta_ventricosa,4.101969221654853
Ilex_opaca,3.7947634753438058
Iris_japonica,4.227644446633998
Itea_chinensis,4.703475874772215
Juglans_mandshurica,4.692767599845721
Juglans_nigra,3.203079613447119
Juniperus_monosperma,3.044522437723423
Juniperus_sabina,3.6432834618664827
Knema_erratica,1.563217773907763
Koelreuteria_paniculata,4.580243049886731
Lamium_album,5.792156286415493
Larix_gmelinii,3.6194991357190056
Lespedeza_bicolor,4.931618323063865
Lespedeza_thunbergii,4.757488255324351
Lindera_communis,3.6575779940959783
Lindera_obtusiloba,4.527325535091816
Liquidambar_formosana,4.269078494900241
Liquidambar_styraciflua,3.4570150883595043
Liriodendron_chinense,3.0536237519697687
Liriodendron_tulipifera,2.4702260315786053
Lithocarpus_chiungchungensis,4.326910252115215
Lithocarpus_cleistocarpus,4.231227348294458
Lithocarpus_fenestratus,2.6272016132388893
Litsea_baviensis,2.5664866367804233
Litsea_cubeba,3.688629422858727
Litsea_elongata,3.875894198777764
Litsea_ichangensis,4.118515873267373
Litsea_verticillata,2.7466296830696852
Lonicera_chrysantha,5.141958617938513
Macaranga_sampsonii,4.72974804048834
Machilus_breviflora,2.9749723561768375
Machilus_kwangtungensis,3.475067230228611
Machilus_nanmu,3.344264745685408
Machilus_oculodracontis,3.3214324131932926
Machilus_robusta,2.8903717578961645
Machilus_shweliensis,3.6154750805305236
Machilus_velutina,3.0809921175048145
Macropanax_undulatus,3.3568971227655755
Magnolia_acuminata,2.5162880457594996
Magnolia_baillonii,2.9616582932202395
Magnolia_balansae,3.0037004432031678
Magnolia_cavaleriei,2.7343675094195836
Magnolia_champaca,2.990719731730447
Magnolia_championii,3.4469034297516927
Magnolia_chapensis,3.1461840358843185
Magnolia_dandyi,2.872999508171694
Magnolia_denudata,3.0397837995191
Magnolia_ernestii,2.766256214166572
Magnolia_fulva,2.9647574692545606
Magnolia_grandiflora,2.2423041621091158
Magnolia_kobus,3.3077062234344843
Magnolia_lotungensis,2.485739636091892
Magnolia_macclurei,3.1094353932159864
Magnolia_macrophylla,2.5572273113676265
Magnolia_maudiae,3.0279321607862917
Magnolia_odora,3.013179113823393
Magnolia_opipara,2.5392369943330477
Magnolia_stellata,3.439265294378326
Magnolia_tripetala,2.890204449456444
