binominal,state,RD
Alopecurus_pratensis,AM,-1.5141277326297755
Alseis_blackiana,AM,-0.4266678815496418
Alternanthera_sessilis,NMAM,-1.2310014767138553
Ambrosia_artemisiifolia,AM,-1.0216512475319814
Amelanchier_alnifolia,AM,-0.9779888454580034
Anaxagorea_javanica,AM,-0.2086860662252831
Andropogon_gerardii,AM,-1.171182981502945
Androsace_occidentalis,AM,-2.163941784752468
Anemone_cylindrica,AM,-1.0216512475319814
Anemone_patens,AM,-0.9946577609482603
Antennaria_neglecta,AM,-1.2911660160283132
Antennaria_parvifolia,AM,-1.0511086660241429
Anthoxanthum_odoratum,AM,-1.5050778971098582
Anthyllis_cytisoides,AM,-1.250627749698357
Anthyllis_terniflora,AM,-1.0109448769163498
Apodytes_dimidiata,AM,-0.5978370007556204
Aporosa_subcaudata,AM,-0.6995677483628681
Aquilegia_vulgaris,AM,-1.7338679908122774
Arbutus_unedo,EcM,-0.6933805417865585
Arctotheca_calendula,AM,-1.4392780258348465
Arenaria_serpyllifolia,NMAM,-1.4208858058895097
Aristida_ramosa,AM,-0.804078741267227
Aristotelia_serrata,AM,-1.0205407532479542
Armeria_velutina,NMAM,-0.676437566996998
Arnica_fulgens,AM,-0.6627149734397434
Arnica_sororia,AM,-1.4134600291926602
Arrhenatherum_elatius,AM,-1.4740332754278973
Artemisia_barrelieri,AM,-0.8560191135325868
Artemisia_cana,AM,-1.171182981502945
Artemisia_codonocephala,AM,-0.5568695622673976
Artemisia_frigida,AM,-1.1719503009068022
Artemisia_ludoviciana,AM,-1.091111915918843
Arthraxon_hispidus,AM,-0.5141645250315053
Ascarina_lucida,AM,-0.6348782724359695
Asclepias_incarnata,AM,-1.0216512475319814
Asclepias_syriaca,AM,-0.843970070294529
Asclepias_tuberosa,AM,-0.6931471805599453
Asplenium_bulbiferum,NMAM,-0.843970070294529
Astelia_fragrans,AM,-0.06187540371808753
Astelia_nervosa,AM,-0.05129329438755058
Aster_laevis,AM,-1.0552654841647438
Aster_lanceolatus,AM,-1.0216512475319814
Astragalus_aboriginum,AM,-1.5329399414613754
Astragalus_agrestis,AM,-0.9450760833059084
Astragalus_bisulcatus,AM,-1.0367648853420295
Astragalus_canadensis,AM,-0.8675005677047231
Astragalus_pelecinus,AM,-1.2761870875639385
Astragalus_scaberrimus,AM,-1.2552660987134867
Astrantia_minor,AM,-0.43540898448123644
Atractylis_humilis,AM,-0.9342637838644055
Ballota_hirsuta,AM,-1.0362714932615358
Baptisia_alba,AM,-1.4271163556401458
Bauhinia_championii,AM,-0.7507762933965817
Beilschmiedia_tarairi,AM,-0.139491978818599
Beilschmiedia_tawa,AM,-0.22334357131687682
Berberis_thunbergii,AM,-1.2462824778086572
Berteroa_incana,NM,-1.6607312068216509
Betula_alleghaniensis,EcM,-1.4271163556401458
Betula_lenta,EcM,-1.3093333199837622
Betula_pendula,EcM,-1.2426270113074775
Bituminaria_bituminosa,AM,-0.8863825531716747
Blechnum_chambersii,AM,-0.8915981192837836
Blechnum_discolor,AM,-1.0216512475319814
Blechnum_fluviatile,AM,-1.171182981502945
Blechnum_novae-zelandiae,AM,-1.1086626245216111
Blechnum_procerum,AM,-1.3093333199837622
Blumeodendron_tokbrai,AM,-0.7907600094269457
Bothriochloa_macra,AM,-1.0078579253996456
Bouteloua_curtipendula,AM,-1.1394342831883648
Brachypodium_phoenicoides,AM,-1.0827389395118197
Brachypodium_pinnatum,AM,-1.7092582477163114
Brachypodium_sylvaticum,AM,-2.0402208285265546
Bromus_catharticus,AM,-1.186624165991323
Bromus_erectus,AM,-1.2709269391230391
Bromus_hordeaceus,AM,-1.7133741155919084
Bromus_inermis,AM,-1.546463113272712
Bromus_madritensis,AM,-1.290984181315566
Calamagrostis_canadensis,AM,-1.5141277326297755
Calamovilfa_longifolia,NMAM,-0.7339691750802004
Caldcluvia_rosifolia,AM,-1.0198793140602396
Calluna_vulgaris,ErM,-1.1501161315352253
Calpurnia_aurea,AM,-0.6348782724359695
Campanula_rotundifolia,AM,-1.954984527976418
Carex_doisutepensis,NMAM,-0.42159449003804794
Carex_filifolia,NMAM,-1.7039055877450273
Carex_flacca,NMAM,-0.889550577903672
Carex_humilis,NMAM,-1.296453657120101
Carex_korshinskyi,NMAM,-1.40649706843741
Carex_lasiocarpa,NMAM,-1.4696759700589417
